"Reference","Qty","Value","Footprint","LCSC#","DNP","Exclude from Board","Exclude from BOM","Datasheet"
"Boot1,R15,R16,R17,Reset1","5","10kΩ","Resistor_SMD:R_0402_1005Metric","","","","",""
"C1,C2","2","2.2uF 100v","Capacitor_SMD:C_1206_3216Metric","","","","",""
"C3,C4,C9,C15","4","100nF","Capacitor_SMD:C_0402_1005Metric","","","","",""
"C5","1","6.8nF","Capacitor_SMD:C_0402_1005Metric","","","","",""
"C6,C7","2","47uF 10v","Capacitor_SMD:C_1206_3216Metric","","","","",""
"C8","1","39pF","Capacitor_SMD:C_0402_1005Metric","","","","",""
"C10","1","22uF","Capacitor_SMD:C_0402_1005Metric","","","","",""
"C11","1","1uF 10V X5R","Capacitor_SMD:C_0402_1005Metric","","","","",""
"C12,C13","2","100nf","Capacitor_SMD:C_0402_1005Metric","","","","",""
"C14","1","4.7uF 10V X5R","Capacitor_SMD:C_0402_1005Metric","","","","",""
"D2,D5,D6","3","SS54","Diode_SMD:D_SMA","","","","",""
"D3","1","Green","LED_SMD:LED_0603_1608Metric","C2986048","","","",""
"D4","1","Red","LED_SMD:LED_0603_1608Metric","C19171390","","","","https://media.digikey.com/pdf/Data%20Sheets/Rohm%20PDFs/SMLE12_Series_Rev2.0_2007.pdf"
"D7,D8","2","SS56","Diode_SMD:D_SMA","","","","",""
"D_TVS1","1","SMBJ58A","Diode_SMD:D_SMB","","","","",""
"F1","1","C41367225","Fuse:Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder","C41367225","","","",""
"J1,J2","2","Conn_01x04_Pin","Connector_JST:JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal","C189895","","","",""
"J11","1","Qwiic_Vertical","Connector_JST:JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical","C160390","","","","https://www.jst-mfg.com/product/pdf/eng/eSH.pdf"
"J12","1","USB_C_Receptacle_USB2.0_16P","Connector_USB:USB_C_Receptacle_G-Switch_GT-USB-7051x","C2843970","","","","https://www.usb.org/sites/default/files/documents/usb_type-c.zip"
"L1","1","8.2uH","Inductor_SMD:L_Changjiang_FNR4010S","C45958745","","","",""
"R1","1","523k","Resistor_SMD:R_0402_1005Metric","","","","",""
"R2","1","84.5kΩ","Resistor_SMD:R_0402_1005Metric","","","","",""
"R3","1","162kΩ","Resistor_SMD:R_0402_1005Metric","","","","",""
"R4","1","13.0kΩ","Resistor_SMD:R_0402_1005Metric","","","","",""
"R5","1","59kΩ","Resistor_SMD:R_0402_1005Metric","","","","",""
"R6","1","10.2kΩ","Resistor_SMD:R_0402_1005Metric","","","","",""
"R7,R8","2","5.1kΩ","Resistor_SMD:R_0402_1005Metric","","","","",""
"R9","1","120Ω","Resistor_SMD:R_0402_1005Metric","","","","",""
"R12,R13,R14","3","33Ω","Resistor_SMD:R_0402_1005Metric","","","","",""
"R18,R19","2","4.7kΩ","Resistor_SMD:R_0402_1005Metric","","","","",""
"R22","1","1k","Resistor_SMD:R_0402_1005Metric","","","","",""
"R23","1","100Ω","Resistor_SMD:R_0402_1005Metric","","","","",""
"SW1,SW2","2","SMD_4.2x3.2mm_h2.5mm","PCM_SparkFun-Switch:Push_SMD_4.2x3.2mm","C843674","","","","https://www.ckswitches.com/media/3130/ck_rk_datasheet.pdf"
"U1","1","ESP32-S3-WROOM-1","RF_Module:ESP32-S3-WROOM-1","C2913198","","","","https://www.espressif.com/sites/default/files/documentation/esp32-s3-wroom-1_wroom-1u_datasheet_en.pdf"
"U3","1","SN65HVD230DR","Symbol:D8-L","C30530","","","","https://www.ti.com/lit/gpn/sn65hvd230"
"U4","1","TPS54360BQDDARQ1","Transistor_Power_Module:DDA8_3P1X2P4_TEX-L","C2687968","","","","https://www.ti.com/lit/gpn/tps54360b-q1"
"U5","1","AP2112K-3.3","Package_TO_SOT_SMD:SOT-23-5","C22365427","","","","https://www.diodes.com/assets/Datasheets/AP2112.pdf"
"U6","1","USBLC6-2P6","Package_TO_SOT_SMD:SOT-666","C15999","","","","https://www.st.com/resource/en/datasheet/usblc6-2.pdf"
"XT30F1,XT30F2","2","Conn_01x02","Connector_AMASS:AMASS_XT30UPB-F_1x02_P5.0mm_Vertical","C108769","","","",""
"XT30M1","1","Conn_01x02","Connector_AMASS:AMASS_XT30UPB-M_1x02_P5.0mm_Vertical","C19268026","","","",""
"XT302+2F1,Xt302+2F2","2","Conn_01x04_Pin","","C19268028","DNP","Excluded from board","",""
