"Reference","Value","Footprint","QUANTITY","DNP","Datasheet","Description"
"Boot1","10kΩ","Resistor_SMD:R_0402_1005Metric","1","","","Resistor, US symbol"
"C1","2.2uF 100v","Capacitor_SMD:C_1206_3216Metric","1","","","Unpolarized capacitor, small symbol"
"C2","2.2uF 100v","Capacitor_SMD:C_1206_3216Metric","1","","","Unpolarized capacitor, small symbol"
"C3","100nF","Capacitor_SMD:C_0402_1005Metric","1","","","Unpolarized capacitor, small symbol"
"C4","100nF","Capacitor_SMD:C_0402_1005Metric","1","","","Unpolarized capacitor, small symbol"
"C5","6.8nF","Capacitor_SMD:C_0402_1005Metric","1","","","Unpolarized capacitor, small symbol"
"C6","47uF 10v","Capacitor_SMD:C_1206_3216Metric","1","","","Unpolarized capacitor, small symbol"
"C7","47uF 10v","Capacitor_SMD:C_1206_3216Metric","1","","","Unpolarized capacitor, small symbol"
"C8","39pF","Capacitor_SMD:C_0402_1005Metric","1","","","Unpolarized capacitor, small symbol"
"C9","100nF","Capacitor_SMD:C_0402_1005Metric","1","","","Unpolarized capacitor, small symbol"
"C10","22uF","Capacitor_SMD:C_0402_1005Metric","1","","","Unpolarized capacitor, small symbol"
"C11","1uF 10V X5R","Capacitor_SMD:C_0402_1005Metric","1","","","Unpolarized capacitor, small symbol"
"C12","100nF","Capacitor_SMD:C_0402_1005Metric","1","","","Unpolarized capacitor, small symbol"
"C13","100nF","Capacitor_SMD:C_0402_1005Metric","1","","","Unpolarized capacitor, small symbol"
"C14","4.7uF 10V X5R","Capacitor_SMD:C_0402_1005Metric","1","","","Unpolarized capacitor, small symbol"
"C15","100nF","Capacitor_SMD:C_0402_1005Metric","1","","","Unpolarized capacitor, small symbol"
"D2","SS54","Diode_SMD:D_SMA","1","","","Schottky diode"
"D3","Green","LED_SMD:LED_0603_1608Metric","1","","","Light emitting diode"
"D4","Red","LED_SMD:LED_0603_1608Metric","1","","https://media.digikey.com/pdf/Data%20Sheets/Rohm%20PDFs/SMLE12_Series_Rev2.0_2007.pdf","Light emitting diode"
"D5","SS54","Diode_SMD:D_SMA","1","","","Schottky diode"
"D6","SS54","Diode_SMD:D_SMA","1","","","Schottky diode"
"D7","SS56","Diode_SMD:D_SMA","1","","","Schottky diode"
"D8","SS56","Diode_SMD:D_SMA","1","","","Schottky diode"
"D_TVS1","SMBJ58A","Diode_SMD:D_SMB","1","","","Schottky diode"
"F1","C41367225","Fuse:Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder","1","","","Fuse"
"J1","Conn_01x04_Pin","Connector_JST:JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal","1","","","Generic connector, single row, 01x04, script generated"
"J2","Conn_01x04_Pin","Connector_JST:JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal","1","","","Generic connector, single row, 01x04, script generated"
"J11","Qwiic_Vertical","Connector_JST:JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical","1","","https://www.jst-mfg.com/product/pdf/eng/eSH.pdf","4 pin JST 1mm polarized connector for I2C"
