Ref,Val,Package,PosX,PosY,Rot,Side
"CAN_TERM1","CAN_TERM","SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm",115.468900,-72.335550,180.000000,bottom
"JP2","3v3 input","SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm",138.950000,-106.000000,0.000000,bottom
"JP3","3v3 input","SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm",134.918900,-106.020550,0.000000,bottom
"JP4","3v3 input","SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm",130.768900,-106.020550,0.000000,bottom
"3v3/2","CAN_VREF","TestPoint_THTPad_1.0x1.0mm_Drill0.5mm",119.418900,-71.110550,90.000000,top
"Boot1","10kΩ","R_0402_1005Metric",107.018900,-74.110550,90.000000,top
"C1","2.2uF 100v","C_1206_3216Metric",129.846400,-88.340550,-90.000000,top
"C2","2.2uF 100v","C_1206_3216Metric",127.346400,-88.340550,-90.000000,top
"C3","100 nF","C_0402_1005Metric",109.600000,-102.100000,180.000000,top
"C4","100nF","C_0402_1005Metric",136.096400,-85.320550,90.000000,top
"C5","6.8nF","C_0402_1005Metric",143.096400,-88.860550,90.000000,top
"C6","47uF 10v","C_1206_3216Metric",140.018900,-77.510550,180.000000,top
"C7","47uF 10v","C_1206_3216Metric",140.018900,-79.910550,180.000000,top
"C8","39pF","C_0402_1005Metric",146.096400,-88.860550,90.000000,top
"C9","100nF","C_0402_1005Metric",107.400000,-102.100000,0.000000,top
"C10","22uF","C_0402_1005Metric",107.400000,-103.200000,180.000000,top
"C11","1µF 10V X5R","C_0402_1005Metric",146.000000,-73.380000,90.000000,top
"C12","100nf","C_0402_1005Metric",128.898900,-119.743850,0.000000,top
"C13","100nf","C_0402_1005Metric",126.818900,-119.743850,0.000000,top
"C14","4.7µF 10V X5R","C_0402_1005Metric",151.300000,-72.500000,-90.000000,top
"C15","100 nF","C_0402_1005Metric",121.915000,-81.035000,-90.000000,top
"CAND1","CAN_D","TestPoint_THTPad_1.0x1.0mm_Drill0.5mm",119.618900,-79.510550,90.000000,top
"CANR1","CAN_R","TestPoint_THTPad_1.0x1.0mm_Drill0.5mm",119.618900,-77.500000,90.000000,top
"D2","SS54","D_SMA",108.000000,-114.000000,90.000000,top
"D3","Green","LED_0603_1608Metric",111.218900,-71.370550,90.000000,top
"D4","Red","LED_0603_1608Metric",115.930000,-114.530000,90.000000,top
"D5","SS54","D_SMA",146.418900,-77.510550,0.000000,top
"D6","SS54","D_SMA",123.718900,-71.035550,90.000000,top
"D7","SS56","D_SMA",129.558900,-83.710550,0.000000,top
"D8","SS56","D_SMA",141.096400,-82.840550,180.000000,top
"D_TVS1","SMBJ58A","D_SMB",130.018900,-74.835550,180.000000,top
"F1","C41367225","Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder",129.696400,-79.710550,0.000000,top
"H1","MountingHole","MountingHole_3.2mm_M3_ISO7380_Pad",152.000000,-119.000000,0.000000,top
"H2","MountingHole","MountingHole_3.2mm_M3_ISO7380_Pad",102.000000,-119.000000,0.000000,top
